Datation;CUID;MrcNbRdv;NbreRdv;NbreRdvManques;NbreRdvSatisfaits;Date_Format_1
02/01/2023;BQLF0250;2;2;;2;20230102
02/01/2023;GHPR7581;1;1;;1;20230102
02/01/2023;QHPQ2975;1;1;;;20230102
03/01/2023;BQLF0250;1;1;;1;20230103
03/01/2023;XPMZ4487;1;1;;1;20230103
04/01/2023;BQLF0250;2;2;;2;20230104
04/01/2023;GHPR7581;4;4;;4;20230104
04/01/2023;RCXN3621;1;1;;1;20230104
04/01/2023;WPXK6245;1;1;;;20230104
04/01/2023;XBFD8978;1;1;;1;20230104
05/01/2023;WPXK6245;1;1;;1;20230105
05/01/2023;XBFD8978;1;1;;1;20230105
06/01/2023;BDLJ9061;1;1;;1;20230106
06/01/2023;GHPR7581;1;1;;1;20230106
06/01/2023;QHPQ2975;1;1;;;20230106
06/01/2023;XBFD8978;1;1;;1;20230106
06/01/2023;XPMZ4487;1;1;1;;20230106
07/01/2023;BQLF0250;3;3;;3;20230107
07/01/2023;NKLP7655;1;1;;1;20230107
07/01/2023;RCXN3621;1;1;;1;20230107
09/01/2023;RCXN3621;1;1;;1;20230109
10/01/2023;PFGK0122;1;1;;1;20230110
