Datation;CUID;NumeroDossier;exploitables;Reit1h;Reit1J;Reit7J;Date_Format_1
02/11/2023;BCVC7070;477817712;1;0;0;0;20231102
02/11/2023;BCVC7070;479695174;1;0;0;0;20231102
02/11/2023;BCVC7070;563659693;1;0;0;0;20231102
02/11/2023;BCVC7070;603450708;1;0;0;0;20231102
02/11/2023;BCVC7070;608655063;1;0;0;1;20231102
02/11/2023;BCVC7070;609831603;1;0;0;0;20231102
02/11/2023;BCVC7070;611971908;1;0;0;0;20231102
02/11/2023;BCVC7070;612249822;1;0;0;0;20231102
02/11/2023;BCVC7070;621443905;1;0;0;0;20231102
02/11/2023;BCVC7070;625321689;1;0;0;0;20231102
02/11/2023;BCVC7070;630738994;1;1;1;1;20231102
02/11/2023;BCVC7070;632720682;1;0;0;0;20231102
02/11/2023;BCVC7070;633100205;1;0;0;0;20231102
02/11/2023;BCVC7070;637059145;1;0;0;0;20231102
02/11/2023;BCVC7070;637129662;1;0;0;0;20231102
02/11/2023;BCVC7070;637466187;1;0;0;0;20231102
02/11/2023;BCVC7070;638122644;1;0;0;0;20231102
02/11/2023;BCVC7070;640100386;1;0;0;0;20231102
02/11/2023;BCVC7070;642465608;1;0;0;0;20231102
02/11/2023;BCVC7070;644170435;1;0;0;0;20231102
02/11/2023;BCVC7070;646451111;1;0;0;0;20231102
02/11/2023;BCVC7070;648794124;1;0;0;0;20231102
02/11/2023;BCVC7070;658036066;1;0;0;0;20231102
02/11/2023;BCVC7070;658972368;1;0;0;0;20231102
