Do Traitement Int.;Unitï¿½ï¿½ Traitement ;Datation;Conseiller intervenant;Motif clï¿½ï¿½;Nb Rdv total;NbRdvTotalClos;NbRdvTotalAnnule;Nb respect engagement;DelaiTraitement;Date_Format_1
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BDLJ9061;Client informï¿;4;4;;4;00:29;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BDLJ9061;Client rï¿½ï¿½t;1;1;;1;00:49;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BDLJ9061;Intervention;3;3;;3;00:24;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BDLJ9061;TRF Ticket Ocï¿½ï¿;1;1;;1;00:49;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BLKV6890;Client injoignable;2;2;;2;00:42;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BLKV6890;Client rï¿½ï¿½t;2;2;;2;00:32;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BLKV6890;Echange matï¿½ï¿½riel - Liv;1;1;;1;00:16;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BLKV6890;Intervention;1;1;;1;00:14;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BQLF0250;Client informï¿;2;2;;2;00:23;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BQLF0250;Client injoignable;2;2;;2;00:19;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BQLF0250;Echange matï¿½ï¿½riel - au;1;1;;1;00:10;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BQLF0250;Intervention;1;1;;1;00:05;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BRJN5603;Client informï¿;4;4;;4;00:38;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BRJN5603;Client rï¿½ï¿½t;1;1;;1;00:48;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;BRJN5603;Intervention;1;1;;1;00:50;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;GHPR7581;Echange matï¿½ï¿½riel - Liv;3;3;;3;00:27;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;GHPR7581;Intervention;3;3;;3;00:30;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;GHPR7581;TRF Ticket Ocï¿½ï¿;2;2;;2;00:05;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;GRPQ4700;Client informï¿;2;2;;2;00:15;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;GRPQ4700;Erreur grille de rdv;1;1;;1;00:09;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;GRPQ4700;Intervention;3;3;;3;00:35;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;NKLP7655;Client rï¿½ï¿½t;7;7;;7;00:15;20230102
PARTENAIRES EXTERNES - Assistance Technique;CCEXT KONECTA MAROC AT;02/01/2023;QFZL4978;Client dï¿½ï¿½jï¿½ï¿½;2;2;;2;00:08;20230102
