Indicateur;Datation;CUID;ClientPremium;NumerateurSco;DenominateurSco;ValeurIndicateurSco;Date_Format_1
Delta SAT en SC - Mobile;01/01/2023;CRXN3413;Non;2;2;100;20230101
Delta SAT en SC - Mobile;01/01/2023;CVGZ6299;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;DCVG1772;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;GHYK6320;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;JMBN8157;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;LCYD3913;Oui;1;2;50;20230101
Delta SAT en SC - Mobile;01/01/2023;LTYS0912;Oui;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;MGLB1292;Non;-1;1;-100;20230101
Delta SAT en SC - Mobile;01/01/2023;NGJG9792;Oui;-1;1;-100;20230101
Delta SAT en SC - Mobile;01/01/2023;PFRB9649;Oui;;1;;20230101
Delta SAT en SC - Mobile;01/01/2023;QBHS1523;Oui;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;RFCB2934;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;RJCJ8085;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;TZST0999;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;XPBM4471;Non;1;1;100;20230101
Delta SAT en SC - Mobile;01/01/2023;ZQPM5647;Oui;1;2;50;20230101
Delta SAT en SC - Mobile;02/01/2023;BFDD5982;Non;1;1;100;20230102
Delta SAT en SC - Mobile;02/01/2023;CGTN4125;Non;1;1;100;20230102
Delta SAT en SC - Mobile;02/01/2023;CSDH5382;Oui;;1;;20230102
