Datation;CUID;Competence;Type_Origine;Tendance;Offre;Appels_Courts;Date_Format_1;Flux;Sous_Flux
17/12/2023;FXMS5360;hHDAdsl;SVI;HD;NC;0;20231217;Autre;Autre
17/12/2023;HCTP9400;hHDNuit;Transfert;HD;NC;0;20231217;Autre;Autre
17/12/2023;CRMH2984;hHDAdsl;SVI;HD;NC;0;20231217;Autre;Autre
17/12/2023;BCNF0177;hHDCtcHd;Clic_To_Call;HD;NC;0;20231217;Autre;Autre
17/12/2023;XGQP0349;hHDCtcHd;Clic_To_Call;HD;NC;0;20231217;Autre;Autre
17/12/2023;JSLR2271;hHDRaDcoAdsl;SVI;HD;NC;0;20231217;Autre;Autre
17/12/2023;BLBL5102;hHDFibre;SVI;THD;LA FIBRE;1;20231217;Autre;Autre
17/12/2023;CLHZ1540;hHDAdsl;SVI;HD;NC;0;20231217;Autre;Autre
17/12/2023;CLHZ1540;hHDCtcHd;Clic_To_Call;HD;NC;0;20231217;Autre;Autre
17/12/2023;CZXQ5699;hHDRaDcoFibre;SVI;THD;LA FIBRE;0;20231217;Autre;Autre
17/12/2023;TDBF3162;hHDCtcHd;Clic_To_Call;HD;NC;0;20231217;Autre;Autre
17/12/2023;NGMB3032;hHDFibre;SVI;THD;LA FIBRE;0;20231217;Autre;Autre
17/12/2023;BGPT1584;HLDACFull;Boutique Franchis�;NC;NC;0;20231217;HLD;Boutique Franchis�
17/12/2023;DCLP4406;HLDACFull;Boutique Orange;NC;NC;1;20231217;HLD;Boutique Orange
17/12/2023;HCMH7276;HLDACFull;Boutique Franchis�;CONVERGENT;NC;0;20231217;HLD;Boutique Franchis�
17/12/2023;HCMH7276;HLDACFull;Boutique Franchis�;NC;NC;0;20231217;HLD;Boutique Franchis�
17/12/2023;HCMH7276;HLDACFull;Boutique Orange;CONVERGENT;NC;0;20231217;HLD;Boutique Orange
17/12/2023;HCMH7276;HLDACFull;Boutique Orange;NC;NC;0;20231217;HLD;Boutique Orange
17/12/2023;SWBF3676;HLDACFull;Boutique Franchis�;NC;NC;1;20231217;HLD;Boutique Franchis�
17/12/2023;SWBF3676;HLDACFull;Boutique Orange;CONVERGENT;NC;0;20231217;HLD;Boutique Orange
17/12/2023;SWBF3676;HLDACFull;Boutique Orange;NC;NC;2;20231217;HLD;Boutique Orange
17/12/2023;WNNG8243;HLDACFull;Boutique Franchis�;NC;NC;0;20231217;HLD;Boutique Franchis�
17/12/2023;WNNG8243;HLDACFull;Boutique Orange;CONVERGENT;NC;0;20231217;HLD;Boutique Orange
