Plateforme_Code;Contact_Identifiant;N_client;N_dossier;Date_Creation_Contact;Date_Modification_Contact;Code_Alliance_Conseiller_Resp;Conseiller_Responsable_Nom;Conseiller_Responsable_Prenom;Statut_Code;Theme_Code;Theme_Libelle;Resolution_Code;Resolution_Libelle;Conclusion_Code;Conclusion_Libelle;Site_Travail_Code;Site_Travail_Libelle;Departement_Travail_Code;Departement_Travail_Libelle;Equipe_Travail_Code;Equipe_Travail_Libelle;Date_Format_1
CHO ;321073552;2009732820;645250231;27/11/2023;27/11/2023;ZNHG8365;Comdata-Ma;Cc-Open-Akd;CLO;10144;14 Achat;11265;Informer sur les offres et options;59647.0;Information sur une offre;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073580;84479510;607390208;27/11/2023;27/11/2023;JBPG6958;Comdata-Ma;Cc-Open-Ahy;CLO;10144;14 Achat;11265;Informer sur les offres et options;59648.0;Information sur une option;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073590;89863593;666148776;27/11/2023;27/11/2023;RJCJ8085;Comdata-Ma;Cc-Open-Acb;CLO;10104;02 Accueil;8890;Rediriger le client;39919.0;Reroutage client effectuï¿;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073605;2000532591;608493407;27/11/2023;27/11/2023;SMDH6377;Comdata-Ma;Cc-Open-Aoq;CLO;10108;05 Assistance technique / SAV;9199;Rï¿½ï¿½soudre un pb de serv;40160.0;Transfert niveau supï¿½ï¿½r;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073633;101491363;687492994;27/11/2023;27/11/2023;HGMD1905;Comdata-Ma;Cc-Open-Akl;CLO;10144;14 Achat;11265;Informer sur les offres et options;59648.0;Information sur une option;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073643;2009651300;681226957;27/11/2023;27/11/2023;GHYK6320;Comdata-Ma;Cc-Open-Ahg;CLO;10111;08 Encaissement / recouvrement;8991;Gï¿½ï¿½rer les impa;40602.0;Relance client;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073651;87310571;622393915;27/11/2023;27/11/2023;VGHB3239;Comdata-Ma;Cc-Open-Aff;CLO;10104;02 Accueil;8888;Informer le client;39912.0;Tarifs du service clients;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073663;1611807996;606705258;27/11/2023;27/11/2023;HDLS3391;Comdata-Ma;Cc-Open-Abr;CLO;10110;07 Assistance facture;11234;Expliquer principes facturation;59344.0;Rï¿½ï¿½gularisation/Remises;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073678;1611493026;648089432;27/11/2023;27/11/2023;BXQC3317;Comdata-Ma;Cc-Open-Aca;CLO;10104;02 Accueil;8890;Rediriger le client;39919.0;Reroutage client effectuï¿;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073730;1620127007;648013003;27/11/2023;27/11/2023;CJVW2804;Comdata-Ma;Cc-Open-Aoa;CLO;10144;14 Achat;12052;RVOM  (A);60082.0;Effectuï¿;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073741;1622162791;753103767;27/11/2023;27/11/2023;KQRD4786;Comdata-Ma;Cc-Open-Akq;CLO;10108;05 Assistance technique / SAV;9277;Hors pï¿½ï¿½rimï¿½ï¿½tre F;51654.0;Coupure de communication;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073748;1620127007;648013003;27/11/2023;27/11/2023;CJVW2804;Comdata-Ma;Cc-Open-Aoa;CLO;10109;06 Rï¿½ï¿½tention/Fidï¿½ï¿½;10757;Demander rï¿½ï¿½siliation Mobile/;57770.0;Rï¿½ï¿½tention Sortie d'Open : changement offre mobile et rï¿½ï¿½sil ;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073760;91165195;687064071;27/11/2023;27/11/2023;GKGG4222;Comdata-Ma;Cc-Open-Afc;CLO;10104;02 Accueil;8890;Rediriger le client;39919.0;Reroutage client effectuï¿;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073765;1661482745;774216374;27/11/2023;27/11/2023;BTDP9195;Comdata-Ma;Cc-Open-Ajg;CLO;10104;02 Accueil;8888;Informer le client;39912.0;Tarifs du service clients;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073791;92174951;688055224;27/11/2023;27/11/2023;KCWM8529;Comdata-Ma;Cc-Open-Ajc;CLO;10144;14 Achat;11265;Informer sur les offres et options;59648.0;Information sur une option;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073816;1652974926;788132770;27/11/2023;27/11/2023;MRVT6655;Comdata-Ma;Cc-Open-Abn;CLO;10109;06 Rï¿½ï¿½tention/Fidï¿½ï¿½;10757;Demander rï¿½ï¿½siliation Mobile/;57770.0;Rï¿½ï¿½tention Sortie d'Open : changement offre mobile et rï¿½ï¿½sil ;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073836;109455385;786275276;27/11/2023;27/11/2023;QFFH8364;Comdata-Ma;Cc-Open-Afe;CLO;10144;14 Achat;11265;Informer sur les offres et options;59647.0;Information sur une offre;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073870;97271987;673762425;27/11/2023;27/11/2023;RGGJ6879;Comdata-Ma;Cc-Open-Ajx;CLO;10108;05 Assistance technique / SAV;9961;0 Script AT/SAV pour AC;40250.0;Transfert vers expert internet;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073878;2003382397;675975607;27/11/2023;27/11/2023;TQBG8144;Comdata-Ma;Cc-Open-Abs;CLO;10110;07 Assistance facture;8955;Expliquer usages facturï¿½;59318.0;Communications vers l'ï¿½ï¿½tra;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
CHO ;321073891;88084164;647246171;27/11/2023;27/11/2023;TFCN1796;Comdata-Ma;Cc-Open-Ajb;CLO;10103;10 Rï¿½ï¿½clama;10606;Assistance et Intervention technique;57285.0;Services : coupure ou dysfonctionnement;S1000119;CCEXT KONECTA MAROC;NR;NR;G1001670;EQU KONECTA MA N1 AC OPEN;20231127
