Datation;CUID;Total_Logge;Duree_retrait_autres;Duree_retrait_formation;Duree_retrait_management;Duree_retrait_pause;Date_Format_1
01/01/2023;BCDL1022;16184;173;0;0;2941;20230101
01/01/2023;BKSN9185;26912;1202;0;0;2760;20230101
01/01/2023;BNDV8490;28732;0;0;0;0;20230101
01/01/2023;CLHZ1540;25228;847;0;0;2689;20230101
01/01/2023;DCCB7362;7178;0;0;0;1047;20230101
01/01/2023;DQJZ3311;23455;0;0;0;2702;20230101
01/01/2023;DTPZ9758;2875;0;0;0;1280;20230101
01/01/2023;DWPV4320;25526;896;0;0;907;20230101
01/01/2023;FJZX1272;16382;1995;0;0;625;20230101
01/01/2023;FWRT7478;28901;0;0;0;2503;20230101
01/01/2023;GQSZ2816;21461;0;0;0;2121;20230101
01/01/2023;GSCF2117;28815;0;0;0;604;20230101
01/01/2023;HCQT9521;28213;393;0;0;2375;20230101
01/01/2023;HDTP8121;15173;0;0;0;1465;20230101
01/01/2023;HMFZ7536;16386;413;0;0;1142;20230101
01/01/2023;HMQT2052;19202;226;0;0;1166;20230101
01/01/2023;HPZL8742;7021;0;0;0;0;20230101
01/01/2023;HRBR2676;32083;438;0;0;2156;20230101
01/01/2023;HRPX8179;21622;0;0;0;0;20230101
01/01/2023;HVZX5531;32336;0;0;0;1779;20230101
01/01/2023;JBHN6195;28395;717;0;0;2253;20230101
01/01/2023;JDTB9737;19742;0;0;0;1527;20230101
01/01/2023;JJXQ0473;30694;0;0;0;0;20230101
