Mois;Datation;Boutique_Equipe_Dep;Carnet;CUID;IDRdv;Chorus;Hagrid;Happy;Date_Format_1
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;BJQL0141;21253463;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;BTDP9195;21255193;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;BTXD7949;21252370;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;BXQC3317;21244731;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;BXQC3317;21250895;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;CFHB9103;21252187;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;CGTN4125;21253853;1;;;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;CRXN3413;21255415;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;CVGZ6299;21255117;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;CYNM9152;21254546;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;DJJH1146;21256450;;1;;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;DLYF8413;21253182;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;DLYF8413;21255804;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;DLYF8413;21256118;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;DXJQ0676;21253272;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;FKTY6745;21250604;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;FSVB8058;21252743;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;FSVB8058;21254188;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;FSVB8058;21256027;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;FSVB8058;21256314;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;FSWK0804;21248184;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;FSWK0804;21252361;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;GBGF2790;21255419;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;GJZM1434;21253407;;;1;20230102
202301;02/01/2023;EQU KONECTA MA N1 AC OPEN;CCEXT Acticall Maroc Reclamation Mobile Convergent;GLRR0026;21257281;;;1;20230102
