AnneeMois;Datation;CUID;Initialisï¿½ï;Traitees_N1;Transfï¿½ï¿½r;Taux_Traitement_N1;Depot_RDVRecla;Total_Initialisees_au_N1;Total_Transferees_au_N2;Total_Tx_de_Traitees_au_N1;Date_Format_1
2023-Septembre;01/09/2023 00:00;HYWD9262;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;JRBL2070;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;CFHB9103;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;JZPB2115;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;GGLK3908;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;QCHQ5984;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;TSTJ1816;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;QCRQ6459;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;WTZY3521;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;QWHG1979;;;;;1;1;1;;20230901
2023-Septembre;01/09/2023 00:00;CSDH5382;;;;;2;2;2;;20230901
2023-Septembre;01/09/2023 00:00;TQBG8144;2;1;1;0,5;3;5;4;0,2;20230901
2023-Septembre;01/09/2023 00:00;HDLS3391;1;1;0;1;2;3;2;0,333333333;20230901
